id:ID,:LABEL,name,description,category,pali,sanskrit,tradition,language,source_file
citation_dhammapada_1,Citation,Dhammapada 1,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_129,Citation,Dhammapada 129,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_183,Citation,Dhammapada 183,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_2,Citation,Dhammapada 2,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_21,Citation,Dhammapada 21,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_277,Citation,Dhammapada 277,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_279,Citation,Dhammapada 279,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_35,Citation,Dhammapada 35,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_5,Citation,Dhammapada 5,,,,,,,data/seeds/dhammapada.json
citation_dhammapada_50,Citation,Dhammapada 50,,,,,,,data/seeds/dhammapada.json
citation_heart_sutra_dharmas,Citation,Heart Sutra Dharmas Passage,,,,,,,data/seeds/heart_sutra.json
citation_heart_sutra_mantra,Citation,Heart Sutra Mantra Passage,,,,,,,data/seeds/heart_sutra.json
citation_heart_sutra_opening,Citation,Heart Sutra Opening,,,,,,,data/seeds/heart_sutra.json
citation_heart_sutra_skandhas,Citation,Heart Sutra Skandhas Passage,,,,,,,data/seeds/heart_sutra.json
citation_mmkv_24_18,Citation,Mulamadhyamakakarika 24.18,,,,,,,data/seeds/core.json
citation_mmkv_24_19,Citation,Mulamadhyamakakarika 24.19,,,,,,,data/seeds/core.json
citation_mmkv_25_19,Citation,Mulamadhyamakakarika 25.19,,,,,,,data/seeds/core.json
concept_ahimsa,Concept,Ahimsa,Non-harming; an ethical orientation of restraint from violence and injury.,ethics,avihimsa,ahimsa,,,data/seeds/dhammapada.json
concept_anatta,Concept,Anatta,"Not-self; the absence of a permanent, independent self in conditioned phenomena.",doctrine,anatta,anatman,,,data/seeds/concepts.json
concept_anicca,Concept,Anicca,Impermanence; the conditioned nature of phenomena as changing and unstable.,doctrine,anicca,anitya,,,data/seeds/concepts.json
concept_appamada,Concept,Appamada,Heedfulness or diligent care in practice.,practice,appamada,apramada,,,data/seeds/dhammapada.json
concept_avalokitesvara,Concept,Avalokitesvara,A bodhisattva associated with compassion and prominent in the Heart Sutra setting.,mahayana,,avalokitesvara,,,data/seeds/heart_sutra.json
concept_avidya,Concept,Avidya,"Ignorance or misknowing, especially regarding the nature of reality and the path.",psychology,avijja,avidya,,,data/seeds/concepts.json
concept_bodhicitta,Concept,Bodhicitta,The awakened mind or aspiration to attain awakening for the benefit of all beings.,mahayana,,bodhicitta,,,data/seeds/concepts.json
concept_bodhisattva,Concept,Bodhisattva,"A being oriented toward awakening, especially for the liberation of all beings in Mahayana contexts.",mahayana,bodhisatta,bodhisattva,,,data/seeds/concepts.json
concept_brahmaviharas,Concept,Brahmaviharas,"The four divine abodes: loving-kindness, compassion, sympathetic joy, and equanimity.",practice,brahmavihara,brahmavihara,,,data/seeds/concepts.json
concept_citta,Concept,Citta,"Mind, heart, or mental orientation; a key term for understanding intention and experience.",psychology,citta,citta,,,data/seeds/dhammapada.json
concept_dukkha,Concept,Dukkha,"A central Dharma concept often translated as suffering, unsatisfactoriness, or stress.",,dukkha,duhkha,,,data/seeds/core.json
concept_dhatu,Concept,Elements,Elements or domains used to analyze experience and phenomena.,analysis,dhatu,dhatu,,,data/seeds/concepts.json
concept_skandhas,Concept,Five Aggregates,"Form, feeling, perception, formations, and consciousness as a framework for analyzing experience.",analysis,khandha,skandha,,,data/seeds/concepts.json
concept_form,Concept,Form,Material form; one of the five aggregates.,analysis,rupa,rupa,,,data/seeds/heart_sutra.json
concept_four_noble_truths,Concept,Four Noble Truths,"The teaching of suffering, its origin, its cessation, and the path leading to cessation.",doctrine,cattari ariyasaccani,catvari aryasatyani,,,data/seeds/concepts.json
concept_karma,Concept,Karma,Intentional action and its ethical consequences.,ethics,kamma,karma,,,data/seeds/concepts.json
concept_karuna,Concept,Karuna,Compassion; the wish for beings to be free from suffering.,practice,karuna,karuna,,,data/seeds/concepts.json
concept_klesha,Concept,Klesha,Afflictive mental states that disturb the mind and condition suffering.,psychology,kilesa,klesa,,,data/seeds/concepts.json
concept_mantra,Concept,Mantra,A sacred utterance or formula used in contemplative and ritual contexts.,practice,,mantra,,,data/seeds/heart_sutra.json
concept_metta,Concept,Metta,Loving-kindness; the cultivation of goodwill and friendliness.,practice,metta,maitri,,,data/seeds/concepts.json
concept_middle_way,Concept,Middle Way,"A path avoiding extremes, often framed as avoiding indulgence and self-mortification or eternalism and nihilism.",practice,majjhima patipada,madhyama pratipad,,,data/seeds/concepts.json
concept_mudita,Concept,Mudita,Sympathetic joy; delight in the welfare and happiness of others.,practice,mudita,mudita,,,data/seeds/concepts.json
